"name","official_name","country_origin","country_operator","operator","user","purpose","purpose_detailed","orbit_class","orbit_type","longitude_geo_degrees","perigee_km","apogee_km","eccentricity","inclination_degrees","period_minutes","launch_mass_kg","dry_mass_kg","power_watts","launch_date","expected_lifetime_yrs","contractor","contractor_country","launch_site","launch_vehicle","cospar_number","norad_number","comments"
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)","1HOPSAT","NR (12/20)","USA","Hera Systems","Commercial","Earth Observation","Technology Development","LEO","Non-Polar Inclined",0,566,576,0.00072,36.9,96.08,22,NA,NA,"12/11/19",0.5,"Hera Systems","USA","Satish Dhawan Space Centre","PSLV","2019-089H",44859,"Pathfinder for planned earth observation constellation."
"3Cat-1","3Cat-1","NR","Spain","Universitat Politècnica de Catalunya","Civil","Technology Development","","LEO","",0,476,500,0.00175,97.4,95,4,NA,NA,"11/29/18",NA,"Universitat Politècnica de Catalunya","Spain","Satish Dhawan Space Centre","PSLV","2018-096K",43728,"Student built."
"Aalto-1 ","Aalto-1","Finland","Finland","Aalto University","Civil","Technology Development","","LEO","",0,497,517,0.00145,97.45,94.7,5,NA,4.5,"6/23/17",2,"Aalto University","Finland","Satish Dhawan Space Centre","PSLV","2017-036L",42775,"Technology development and education."
"AAUSat-4","AAUSat-4","Denmark","Denmark","University of Aalborg","Civil","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,442,687,0.0177,98.2,95.9,1,NA,NA,"4/25/16",NA,"University of Aalborg","Denmark","Guiana Space Center","Soyuz 2.1a","2016-025E",41460,"Carries AIS system."
"ABS-2 (Koreasat-8, ST-3)","ABS-2","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",75,NA,NA,0.000178,0.08,1436.03,NA,NA,NA,"2/6/14",15,"Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2014-006A",39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
"ABS-2A","ABS-2A","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",-75,NA,NA,0,0,1436.1,NA,NA,NA,"6/15/16",15,"Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2016-038A",41588,""
"ABS-3A ","ABS-3A","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",-3,NA,NA,0.000178,0.1,1436,NA,NA,NA,"3/2/15",15,"Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2015-010A",40424,"Coverage of Americas Europe and Africa."
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","ABS-4","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",75,NA,NA,0.000154,0.01,1436.1,NA,NA,NA,"3/13/04",12,"Space Systems/Loral","USA","Cape Canaveral","Atlas 3","2004-007A",28184,"Purchased by ABS in 2013."
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","ABS-6","NR","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",159,NA,NA,0.000202,0.01,1436.08,NA,NA,NA,"9/26/99",15,"Lockheed Martin","USA","Baikonur Cosmodrome","Proton","1999-053A",25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
"ABS-7 (Koreasat 3, Mugungwha 3)","ABS-7","South Korea","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications","","GEO","",116.18,NA,NA,0.00013,0.01,1436.06,NA,NA,NA,"9/4/99",15,"Lockheed Martin Astro Space","USA","Guiana Space Center","Ariane","1999-046A",25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA 311","NR (12/20)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",NA,NA,NA,0.00119,0,1437.6,NA,NA,NA,"12/11/20",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2020-095A",47237,"ELINT."
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA 139","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",-26,NA,NA,0.00537,7.72,1436.14,NA,NA,NA,"5/9/98",NA,"TRW Space and Electronics","USA","Cape Canaveral","Titan IVA","1998-029A",25336,"ELINT."
"Advanced Orion 5 (Mentor, NROL 19, USA 171)","USA 171","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",68,NA,NA,0.00468,3.2,1436.1,NA,NA,NA,"9/9/03",NA,"TRW Space and Electronics","USA","Cape Canaveral","Titan IV","2003-041A",27937,"Electronic intelligence (ELINT). "
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)","USA 202","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",44,NA,NA,0.00264,2.89,1438.8,NA,NA,NA,"1/18/09",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2009-001A",33490,"ELINT."
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)","USA 223","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",95,NA,NA,0,0,1436,NA,NA,NA,"11/21/10",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2010-063A",37232,"ELINT."
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)","USA 237","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",60,NA,NA,0.000403,0,1436.1,NA,NA,NA,"6/29/12",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2012-034A",38528,"ELINT."
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)","USA 268","USA","USA","National Reconnaissance Office (NRO)","Military","Earth Observation","Electronic Intelligence","GEO","",102.6,NA,NA,0.00344,7.51,1437.19,NA,NA,NA,"6/11/16",NA,"National Reconnaissance Laboratory (?)","USA","Cape Canaveral","Delta 4 Heavy","2016-036A",41584,"ELINT."
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)","USA 235","USA","USA","US Air Force","Military","Communications","","GEO","",-120,NA,NA,0.000344,2.34,1436.1,NA,NA,NA,"5/3/12",14,"Lockheed Martin Space Systems","USA","Cape Canaveral","Atlas 5","2012-019A",38254,"Second in constellation."
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)","USA 246","NR","USA","US Air Force","Military","Communications","","GEO","",152.1,NA,NA,0.00122,4.2,1436.1,NA,NA,NA,"9/18/13",14,"Lockheed Martin Space Systems","USA","Cape Canaveral","Atlas 5","2013-050A",39256,"Third in constellation."
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)","USA 288","USA","USA","US Air Force","Military","Communications","","GEO","",150.2,NA,NA,0.000107,0.05,1436.1,NA,NA,NA,"10/17/18",NA,"Lockheed Martin Space Systems","USA","Cape Canaveral","Atlas 5","2018-079A",43651,""
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)","USA 292","USA","USA","US Air Force","Military","Communications","","GEO","",-94.39,NA,NA,0.000356,6.4,1436.2,NA,NA,NA,"8/8/19",NA,"Lockheed Martin Space Systems","USA","Cape Canaveral","Atlas 5","2019-051A",44481,""
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)","USA 298","USA","USA","US Air Force ","Military","Communications","","GEO","",0,NA,NA,0,0,1436,NA,NA,NA,"3/26/20",NA,"Lockheed Martin Space Systems","USA","Cape Canaveral","Atlas 5","2020-022B",45465,""
"Aeneas","Aeneas","USA","USA","Department of Homeland Security","Government","Technology Development","","LEO","Equatorial",0,480,790,0.0221,0.02,97.4,3,NA,NA,"9/13/12",NA,"University of Southern California","USA","Vandenberg AFB","Atlas 5","2012-048C",38760,"Demonstration program to track cargo containers worldwide."
"Aeolus","Aeolus","ESA","ESA","European Space Agency (ESA)","Government","Earth Observation","Earth Science","LEO","",0,314,317,0.000224,96.7,92.4,NA,NA,NA,"8/22/18",3,"Airbus Defense and Space","France/UK/Germany/Spain","Guiana Space Center","Vega","2018-066A",43600,"Aeolus will precisely measure wind flow and air currents on the Earth, improving weather forecasting, and ultimately our ability to protect the environment."
"Aerocube 10A (Jimsat)","Aerocube 10A","USA","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,469,481,0.000877,51.6,94.15,2,NA,NA,"8/9/19",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2019-022D",44485,""
"Aerocube 10B (Dougsat)","Aerocube 10B","USA","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,471,483,0.000876,51.6,94.15,2,NA,NA,"8/9/19",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2019-022C",44484,""
"Aerocube 11A (TOMSat Eagle Scout)","Aerocube 11A","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Polar",0,495,511,0.00116,85.03,94.6,4,NA,NA,"12/17/18",NA,"Aerospace Corporation","USA","Rocket Lab Launch Complex 1","Electron","2018-104N",43861,"Will test miniaturized imagers."
"Aerocube 11B (TOMSat R3)","Aerocube 11B","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Polar",0,492,511,0.00138,85.3,94.6,4,NA,NA,"12/17/18",NA,"Aerospace Corporation","USA","Rocket Lab Launch Complex 1","Electron","2018-104A",43849,"Will test miniaturized imagers."
"Aerocube 12A","Aerocube 12A","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,481,487,0.000438,51.6,94.2,4,NA,NA,"7/16/18",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2018-046C",43556,""
"Aerocube 12B","Aerocube 12B","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,481,487,0.000438,51.6,94.2,4,NA,NA,"7/16/18",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2018-046D",43557,""
"Aerocube 14A","Aerocube 14A","USA","USA","Aerospace Corporation","Military","Technology Development","","LEO","Non-Polar Inclined",0,459,474,0.0011,51.6,93.9,NA,NA,NA,"1/31/20",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2019-071D",45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
"Aerocube 14B","Aerocube 14B","USA","USA","Aerospace Corporation","Military","Technology Development","","LEO","Non-Polar Inclined",0,459,474,0.0011,51.6,93.9,NA,NA,NA,"1/31/20",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2019-071F",45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
"Aerocube 15A","Aerocube 15A","USA","USA","Aerospace Corporation","Military","Technology Development","","LEO","Non-Polar Inclined",0,458,474,0.00117,51.6,93.9,NA,NA,NA,"1/31/20",NA,"Aerospace Corporation","USA","Cygnus","Nanorack Deployer","2019-071G",45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
"Aerocube 5C","Aerocube 5C","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,500,802,0.0215,64.78,97.74,2,NA,NA,"10/8/15",NA,"Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2015-058B",40965,"Demonstrate tracking technologies, optical communications and laser communication."
"Aerocube 6A","Aerocube 6A","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Sun-Synchronous",0,614,700,0.00612,97.98,97.88,5,NA,NA,"6/19/14",3,"Aerospace Corporation","USA","Dombarovsky Air Base","Dnepr","2014-033AM",40045,"Technology development for cubesat constellation."
"Aerocube 6B","Aerocube 6B","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Sun-Synchronous",0,614,700,0.00612,97.98,97.88,5,NA,NA,"6/19/14",3,"Aerospace Corporation","USA","Dombarovsky Air Base","Dnepr","2014-033AN",40046,"Technology development for cubesat constellation."
"Aerocube 7A","Aerocube 7A","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,500,802,0.0215,64.6,97.4,2,NA,NA,"10/8/15",NA,"Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2015-058C",40966,""
"Aerocube 7B","Aerocube 7B","USA","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,432,437,0.000367,53.6,93.2,2,NA,NA,"11/12/17",NA,"Aerospace Corporation","USA","Wallops Island Flight Facility","Antares 230","2017-071F",43042,""
"Aerocube 7C","Aerocube 7C","USA","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,432,437,0.000367,53.6,93.2,2,NA,NA,"11/12/17",NA,"Aerospace Corporation","USA","Wallops Island Flight Facility","Antares 230","2017-071G",43043,""
"Aerocube 8A","Aerocube 8A","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,356,700,0.0249,55,95.19,5,NA,NA,"5/20/15",NA,"Aerospace Corporation","USA","Cape Canaveral","Atlas 5","2015-025J",40659,""
"Aerocube 8B","Aerocube 8B","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,356,700,0.0249,55,95.19,5,NA,NA,"5/20/15",NA,"Aerospace Corporation","USA","Cape Canaveral","Atlas 5","2015-025K",40660,""
"Aerocube 8C","Aerocube 8C","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Sun-Synchronous",0,569,584,0.00108,97.9,96.2,5,NA,NA,"11/11/16",NA,"Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2016-067F",41853,""
"Aerocube 8D","Aerocube 8D","NR","USA","Aerospace Corporation","Commercial","Technology Development","","LEO","Sun-Synchronous",0,572,584,0.000864,98,96.23,2,NA,NA,"11/11/16",NA,"Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2016-067E",41852,""
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])","Eutelsat 48D","France","Multinational","EUTELSAT S.A.","Commercial","Communications","","GEO","",48,NA,NA,0.000522,0.12,1436.08,NA,NA,NA,"12/20/08",15,"EADS Astrium","France","Guiana Space Center","Ariane 5","2008-065B",33460,"30 Ku-band transponders."
"AIM (Aeronomy of Ice in Mesosphere)","AIM","USA","USA","Center for Atmospheric Sciences, Hampton University/NASA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,544,552,0.000578,97.9,96.2,215,197,216,"4/25/07",2,"Orbital Sciences Corp.","USA","Vandenberg AFB","Pegasus XL","2007-015A",31304,"Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012."
"AISat-1","AISat-1","Germany","Germany","German Aerospace Center (DLR)","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,643,660,0.00121,98.25,97.76,14,NA,NA,"6/30/14",NA,"German Aerospace Center (DLR)","Germany","Satish Dhawan Space Centre","PSLV-CA","2014-034B",40054,"Satellite equipped with AIS tracking."
"AISSat-1 (Automatic Identification System Satellite-1)","AISSat-1","Norway","Norway","Norwegian Coastal Admnistration","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,615,632,0.00122,98,97.2,6,NA,NA,"7/12/10",3,"Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies","Canada","Satish Dhawan Space Centre","PSLV","2010-035C",36797,"Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies."
"AISSat-2 (Automatic Identification System Satellite-2)","AISSat-2","Norway","Norway","Norwegian Coastal Admnistration","Government","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,625,631,0.000429,98.4,97.27,6,NA,NA,"7/8/14",3,"Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies","Norway/Canada","Baikonur Cosmodrome","Soyuz-2.1b","2014-037G",40075,"Second in the series."
"AIST-1","AIST-1","Russia","Russia","Samara State Aerospace University, SGAU","Commercial/Civil","Technology Development","","LEO","Polar",0,599,626,0.00193,82.4,96.9,NA,NA,NA,"12/28/13",NA,"TsSKB Progress","Russia","Plesetsk Cosmodrome","Soyuz 2,1v","2013-078C",39492,"Designed to measure the Earth’s geomagnetic field and test out a new satellite design."
"AIST-2","AIST-2","Russia","Russia","Samara State Aerospace University, SGAU","Commercial/Civil","Technology Development","","LEO","Non-Polar Inclined",0,558,582,0.00173,64.88,96.06,53,NA,NA,"4/19/13",3,"Samara State Aerospace University, SGAU","Russia","Baikonur Cosmodrome","Soyuz 2.1a","2013-015D",39133,"Designed to measure the Earth’s geomagnetic field and test out a new satellite design."
"AIST-2D","AIST-2D","Russia","Russia","Samara State Aerospace University, SGAU","Commercial/Civil","Technology Development","","LEO","Sun-Synchronous",0,471,486,0.0011,97.28,94.18,531,NA,NA,"4/27/16",NA,"Samara State Aerospace University/TsSKB Progress","Russia","Vostochny Cosmodrome","Soyuz 2.1a","2016-026B",41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures."
"AISTechSat-2","AISTechSat-2","NR","Spain","AISTech","Commercial","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,574,592,0.00129,97.8,96.4,3,NA,NA,"12/3/18",NA,"GomSpace ApS","Denmark","Vandenberg AFB","Falcon 9","2018-099L",43768,"First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight."
"AISTechSat-3","AISTechSat-3","Spain","Spain","AISTech","Commercial","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,490,506,0.00116,97.5,94.6,2,NA,NA,"4/1/19",NA,"GomSpace ApS","Denmark","Satish Dhawan Space Centre","PSLV","2019-018AB",44103,"Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services."
"Al Yah-3","Al Yah-3","Brazil","United Arab Emirates","Al Yah Satellite Communications Co. (YAHSAT)","Commercial","Communications","","GEO","",-20,NA,NA,0.000225,0,1436,NA,NA,NA,"1/25/18",15,"Orbital ATK","USA","Guiana Space Center","Ariane 5","2018-012A",43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
"Alcomsat (Algerian Communications Satellite)","Alcomsat","Algeria","Algeria","Algerian Space Agency (ASAL)","Government","Communications","","GEO","",-24.8,NA,NA,0.000641,0.04,1436.1,NA,NA,NA,"12/10/17",15,"China Academy of Space Technology (CAST)","China","Xichang Satellite Launch Center","Long March 3B","2017-078A",43039,"Algeria's first communications satellite."
"ALE-2 (Astro Live Experiences-2)","ALE-2","NR (12/20)","Japan","Astro Live Experiences","Commercial","Earth Science","","LEO","Sun-Synchronous",0,397,414,0.00125,97.01,92.06,75,NA,NA,"12/6/19",NA,"Astro Live Experiences","Japan","Rocket Lab Launch Complex 1","Electron","2019-084A",44824,"Planned display of colorful meteor-like lights for Tokyo Summer Olympics."
"Al-Farabi-2","Al-Farabi-2","NR","Kazakhstan","Al-Farabi Kazakh National University","Civil","Technology Development","","LEO","Sun-Synchronous",0,573,589,0.00115,97.7,96.2,4,NA,NA,"12/3/18",NA,"Al-Farabi Kazakh National University","Kazakhstan","Vandenberg AFB","Falcon 9","2018-099AZ",43805,"Technology demonstration mission."
"ALiCE  (AFIT LEO iMESA CNT E)","ALiCE","NR","USA","US Air Force Institute of Technology","Military","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,98,5,NA,NA,"12/6/13",NA,"US Air Force Institute of Technology","USA","Vandenberg AFB","Atlas 5","2013-072F",39467,"Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions."
"Alsat 2B","Alsat-2B","Algeria","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,646,660,0.000997,98.2,97.7,117,NA,NA,"9/26/16",5,"Airbus Defense and Space","France/UK/Germany/Spain","Satish Dhawan Space Centre","PSLV","2016-059D",41786,"Surveillance."
"Alsat-1B","Alsat-1B","Algeria","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,661,704,0.00305,98.2,98.4,103,NA,NA,"9/26/16",5,"Surrey Satellite Technology Ltd.","UK","Satish Dhawan Space Centre","PSLV","2016-059C",41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
"AlSat-1N","AlSat-1N","Algeria","Algeria","Algerian Space Agency (ASAL)/UK Space Agency","Government","Technology Development","","LEO","Sun-Synchronous",0,661,698,0.00262,98.2,98.3,10,NA,NA,"9/26/16",NA,"Surrey Satellite Technology Ltd.","UK","Satish Dhawan Space Centre","PSLV","2016-059G",41789,"Technology demonstration satellite for Algerian students."
"Alsat-2A (Algeria Satellite 2A)","Alsat-2A","Algeria","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,672,674,0.000142,98.1,98.2,130,NA,NA,"7/12/10",5,"EADS Astrium","France/UK/Germany/Spain","Satish Dhawan Space Centre","PSLV","2010-035D",36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
"Amazonas-2","Amazonas-2","Brazil","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications","","GEO","",-61,NA,NA,0.000451,0.03,1436.08,NA,NA,NA,"10/1/09",15,"EADS Astrium","France/UK/Germany/Spain","Guiana Space Center","Ariane 5","2009-054A",35942,"54 Ku-band, 10 C-band transponders; North, Central and South America."
"Amazonas-3","Amazonas-3","Brazil","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications","","GEO","",-61,NA,NA,0.000119,0.03,1436.05,NA,NA,NA,"2/7/13",15,"Space Systems/Loral","USA","Guiana Space Center","Ariane 5 ECA","2013-006A",39078,""
"Amazonas-4A","Amazonas-4A","NR","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications","","GEO","",-61,NA,NA,0.00013,0.08,1436.24,NA,NA,NA,"3/22/14",15,"Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2014-011A",39616,"Suffered a power malfunction shortly after entering orbit; will affect capacity."
"Amazonas-5","Amazonas-5","NR","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications","","GEO","",-61,NA,NA,4.74e-05,0.04,1436.11,NA,NA,NA,"9/12/17",15,"Space Systems/Loral","USA","Baikonur Cosmodrome","Proton","2017-053A",42934,"34 Ka-band, 24 Ku-band"
"AMC-1 (Americom 1, GE-1)","AMC-1","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-129.15,NA,NA,0.000332,0.03,1436.1,NA,NA,NA,"9/8/96",15,"Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 2A","1996-054A",24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
"AMC-11 (Americom-11, GE 11)","AMC-11","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-130.93,NA,NA,0.000273,0.04,1436.07,NA,NA,NA,"5/19/04",15,"Lockheed Martin","USA","Cape Canaveral","Atlas 2AS","2004-017A",28252,"24 C-band transponders."
"AMC-15 (Americom-15)","AMC-15","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-105.04,NA,NA,0.000213,0.04,1436.08,NA,NA,NA,"10/14/04",15,"Lockheed Martin","USA","Baikonur Cosmodrome","Proton M","2004-041A",28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
"AMC-16 (Americom-16)","AMC-16","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-84.98,NA,NA,0.000154,0.02,1436.1,NA,NA,NA,"12/17/04",15,"Lockheed Martin Commercial Space Systems","USA","Cape Canaveral","Atlas 5","2004-048A",28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
"AMC-18 (Americom 18)","AMC-18","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-104.97,NA,NA,0.00032,0.06,1436.1,NA,918,NA,"12/8/06",15,"Lockheed Martin Missiles & Space","USA","Guiana Space Center","Ariane 5","2006-054B",29644,"All c-band transponders for North American coverage."
"AMC-2 (Americom 2, GE-2)","AMC-2","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-100.98,NA,NA,0.000285,0.05,1436.1,NA,NA,NA,"1/30/97",15,"Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 44L","1997-002A",24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
"AMC-21 (Americom 21)","AMC-21","United Kingdom","USA","SES S.A.","Commercial","Communications","","GEO","",-124.86,NA,NA,0.000178,3,1436.1,NA,NA,NA,"8/14/08",15,"Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5 ECA","2008-038B",33275,"Television services to the US, Canada, Mexico and Caribbean."
"AMC-4 (Americom-4, GE-4)","AMC-4","USA","USA","SES S.A./Gogo","Commercial","Communications","","GEO","",-100.99,NA,NA,0.000119,0.01,1436.1,NA,NA,NA,"11/13/99",15,"Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 44LP","1999-060A",25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
"AMC-6 (Americom-6, GE-6)","AMC-6","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-71.98,NA,NA,0.000202,0.05,1436.12,NA,NA,NA,"10/22/00",15,"Lockheed Martin Commercial Space Systems","USA","Baikonur Cosmodrome","Proton K","2000-067A",26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
"AMC-8 (Americom-8, GE-8, Aurora 3)","AMC-8","USA","USA","SES S.A.","Commercial","Communications","","GEO","",-139,NA,NA,0.000297,0.03,1436.07,NA,919,NA,"12/19/00",15,"Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5G","2000-081B",26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
"AmGU-1 (AmurSat-1)","AmGU-1","Russia","Russia","Moscow State University","Civil","Space Science","","LEO","Sun-Synchronous",0,514,547,0.00239,97.5,95.2,4,NA,NA,"7/5/19",NA,"Moscow State University","Russia","Vostochny Cosmodrome","Soyuz 2.1b","2019-038J",44394,"Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena."
"Amos 17","Amos 17","NR (12/20)","Israel","Space-Communication Ltd.","Military/Commercial","Communications","","GEO","",17,NA,NA,0.00019,0,1436.04,NA,NA,NA,"8/6/19",20,"Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2019-050A",44479,"Replaces Amos 5 which failed in 2015."
"Amos 3","Amos 3","NR","Israel","Space-Communication Ltd.","Military/Commercial","Communications","","GEO","",-3.99,NA,NA,7.12e-05,0.04,1436.1,NA,NA,NA,"4/28/08",12,"Israel Aircraft Industries (IAI)","Israel","Baikonur Cosmodrome","Zenit 3SLB","2008-022A",32794,"15 transponders, Ku and Ka bands."
"Amos 4","Amos 4","NR","Israel","Space-Communication Ltd.","Military/Commercial","Communications","","GEO","",65,NA,NA,0.00194,0.01,1432,NA,NA,NA,"8/31/13",12,"Israel Aircraft Industries (IAI)","Israel","Baikonur Cosmodrome","Zenit 2SB","2013-045A",39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."
